customer_id,gender,age,married,number_of_dependents,city,zip_code,latitude,longitude,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status,churn_category,churn_reason
0486-HECZI,Male,37,Yes,1,Torrance,90504,33.86725700,-118.33079400,0,55,None,Yes,49.06,Yes,Yes,"Fiber Optic",27.00,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",96.75,5238.90,0.00,0.00,2698.30,7937.20,Churned,Price,"Long distance charges"
0487-CRLZF,Female,58,No,0,Poway,92064,32.98439500,-117.01345400,0,49,"Offer B",Yes,7.51,No,Yes,DSL,13.00,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",74.45,3721.90,0.00,0.00,367.99,4089.89,Stayed,,
0487-RPVUM,Male,49,Yes,0,"Mount Hermon",95041,37.05116600,-122.05619400,1,61,None,Yes,15.15,Yes,Yes,"Fiber Optic",28.00,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",99.40,5943.65,0.00,0.00,924.15,6867.80,Stayed,,
0488-GSLFR,Female,41,No,0,Taylorsville,95983,40.05368400,-120.74311600,0,1,None,Yes,8.31,No,Yes,"Fiber Optic",27.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.50,69.50,0.00,0.00,8.31,77.81,Churned,Dissatisfaction,"Product dissatisfaction"
0489-WMEMG,Female,61,No,3,Korbel,95550,40.76660000,-123.80458000,0,23,"Offer D",Yes,25.85,No,Yes,Cable,53.00,No,No,No,Yes,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",49.45,1119.35,0.00,0.00,594.55,1713.90,Stayed,,
0491-KAPQG,Male,28,No,0,"Pine Valley",91962,32.80067100,-116.48336300,0,21,"Offer D",Yes,28.54,Yes,Yes,"Fiber Optic",42.00,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.70,1558.70,0.00,0.00,599.34,2158.04,Stayed,,
0495-RVCBF,Female,39,No,0,"Santa Rosa",95401,38.46051700,-122.79033500,0,1,None,Yes,33.88,No,Yes,"Fiber Optic",26.00,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",79.70,79.70,0.00,0.00,33.88,113.58,Churned,Dissatisfaction,"Poor expertise of online support"
0495-ZBNGW,Male,78,Yes,0,"Loma Mar",94021,37.26638800,-122.26308000,1,5,None,Yes,6.66,Yes,Yes,"Fiber Optic",14.00,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",-1.00,343.95,0.00,20.00,33.30,397.25,Churned,Competitor,"Competitor offered more data"
0496-AHOOK,Male,61,Yes,0,Bangor,95914,39.39658500,-121.38029000,10,24,"Offer C",Yes,32.86,No,Yes,Cable,30.00,Yes,No,No,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",74.40,1712.90,0.00,0.00,788.64,2501.54,Stayed,,
0504-HHAPI,Female,72,No,0,Guinda,95637,38.83073900,-122.19620200,0,27,None,Yes,16.94,Yes,Yes,"Fiber Optic",11.00,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,No,"Credit Card",88.30,2467.75,0.00,0.00,457.38,2925.13,Churned,Other,"Don't know"
0506-LVNGN,Female,78,No,0,"Rancho Cordova",95742,38.59113400,-121.16158500,0,5,None,Yes,42.33,No,Yes,"Fiber Optic",9.00,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",75.55,349.65,0.00,0.00,211.65,561.30,Churned,Competitor,"Competitor had better devices"
0508-OOLTO,Female,33,Yes,1,"Fort Irwin",92310,35.34924100,-116.77028100,5,2,None,Yes,29.03,No,Yes,"Fiber Optic",10.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",71.65,135.75,0.00,0.00,58.06,193.81,Joined,,
0511-JTEOY,Female,41,No,0,"Canyon Dam",95923,40.17131200,-121.12060500,0,1,"Offer E",Yes,10.19,No,Yes,"Fiber Optic",9.00,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Mailed Check",71.10,71.10,0.00,0.00,10.19,81.29,Churned,Competitor,"Competitor made better offer"
0512-FLFDW,Female,74,Yes,0,"Palomar Mountain",92060,33.30985200,-116.82309100,3,60,None,Yes,27.68,Yes,Yes,"Fiber Optic",26.00,No,No,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Credit Card",100.50,6029.00,0.00,0.00,1660.80,7689.80,Stayed,,
0513-RBGPE,Male,57,Yes,0,"Rancho Santa Fe",92091,32.99356000,-117.20712100,6,37,None,Yes,4.50,Yes,Yes,DSL,9.00,Yes,No,Yes,Yes,No,No,No,Yes,"Two Year",Yes,"Credit Card",62.80,2278.75,16.97,0.00,166.50,2428.28,Stayed,,
0515-YPMCW,Male,42,No,0,"San Jose",95116,37.35028400,-121.85285500,0,1,None,Yes,42.87,No,Yes,"Fiber Optic",8.00,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",70.45,70.45,0.00,10.00,42.87,123.32,Churned,Competitor,"Competitor had better devices"
0516-OOHAR,Male,39,Yes,2,Topanga,90290,34.11519200,-118.61017000,8,28,None,Yes,7.73,No,Yes,"Fiber Optic",13.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",100.35,2799.00,0.00,0.00,216.44,3015.44,Stayed,,
0516-UXRMT,Female,27,No,0,Oxnard,93033,34.15662900,-119.11721800,0,62,None,Yes,23.88,Yes,Yes,"Fiber Optic",47.00,Yes,Yes,Yes,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",92.05,5755.80,14.21,0.00,1480.56,7222.15,Stayed,,
0516-WJVXC,Female,21,No,0,Sacramento,95818,38.55630600,-121.49581700,0,5,None,Yes,3.61,No,Yes,DSL,69.00,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",54.20,308.25,0.00,0.00,18.05,326.30,Churned,Dissatisfaction,"Network reliability"
0519-XUZJU,Female,56,No,0,Felton,95018,37.08911100,-122.06221300,0,1,None,Yes,26.00,No,Yes,"Fiber Optic",8.00,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Mailed Check",70.75,70.75,0.00,0.00,26.00,96.75,Churned,Dissatisfaction,"Service dissatisfaction"
0520-FDVVT,Male,26,No,0,Lewiston,96052,40.70429300,-122.80389900,0,35,None,Yes,39.84,No,Yes,"Fiber Optic",48.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",102.35,3626.10,0.00,0.00,1394.40,5020.50,Churned,Price,"Price too high"
0524-IAVZO,Female,25,Yes,0,Anza,92539,33.52760500,-116.66655100,1,30,"Offer C",Yes,4.82,Yes,Yes,"Fiber Optic",41.00,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",85.00,2624.25,0.00,0.00,144.60,2768.85,Churned,Other,"Don't know"
0529-ONKER,Male,70,No,0,"Forest Ranch",95942,40.07702800,-121.49416800,0,15,"Offer D",Yes,46.38,Yes,Yes,"Fiber Optic",19.00,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",75.65,1146.65,0.00,0.00,695.70,1842.35,Churned,Attitude,"Attitude of support person"
0530-IJVDB,Male,36,No,2,Jamul,91935,32.69568100,-116.79838600,0,70,"Offer A",Yes,26.67,Yes,Yes,"Fiber Optic",17.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",114.60,7882.50,0.00,0.00,1866.90,9749.40,Stayed,,
0531-XBKMM,Male,37,No,2,Azusa,91702,34.17449300,-117.87068000,0,66,None,Yes,32.12,Yes,Yes,DSL,17.00,Yes,Yes,No,Yes,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",65.70,4378.90,0.00,0.00,2119.92,6498.82,Stayed,,
0531-ZZJWQ,Male,68,Yes,0,Fallbrook,92028,33.36257500,-117.29964400,6,55,None,Yes,42.90,Yes,Yes,"Fiber Optic",27.00,No,No,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",74.00,4052.40,0.00,0.00,2359.50,6411.90,Stayed,,
0533-BNWKF,Female,66,Yes,0,"San Diego",92122,32.85723000,-117.20977400,2,55,"Offer B",Yes,42.82,Yes,Yes,"Fiber Optic",27.00,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",85.45,4874.70,0.00,90.00,2355.10,7319.80,Churned,Competitor,"Competitor made better offer"
0533-UCAAU,Male,72,Yes,0,"Montgomery Creek",96065,40.87755200,-121.88588400,2,57,None,Yes,48.16,Yes,Yes,DSL,10.00,No,Yes,Yes,No,Yes,No,No,Yes,"One Year",Yes,"Credit Card",71.10,4140.10,0.00,0.00,2745.12,6885.22,Stayed,,
0536-ACXIP,Female,34,Yes,0,Lodi,95242,38.12808700,-121.40780000,9,72,None,Yes,44.20,Yes,Yes,"Fiber Optic",2.00,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",109.55,8165.10,0.00,0.00,3182.40,11347.50,Stayed,,
0536-ESJEP,Male,48,Yes,0,"Rough And Ready",95975,39.22563400,-121.15616300,8,54,None,Yes,14.18,No,Yes,DSL,25.00,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",74.55,4191.45,0.00,0.00,765.72,4957.17,Stayed,,
0537-QYZZN,Male,66,Yes,2,Petaluma,94952,38.23701800,-122.77872000,6,24,"Offer C",Yes,4.06,Yes,Yes,"Fiber Optic",28.00,Yes,No,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",79.85,1857.75,0.00,0.00,97.44,1955.19,Stayed,,
0541-FITGH,Female,59,Yes,0,Hornitos,95325,37.47992600,-120.23042400,6,2,"Offer E",Yes,48.39,No,Yes,Cable,24.00,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",62.15,113.10,0.00,0.00,96.78,209.88,Joined,,
0549-CYCQN,Male,69,No,0,Flournoy,96029,39.84784000,-122.54455600,0,51,None,Yes,24.92,Yes,Yes,"Fiber Optic",11.00,No,Yes,No,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",79.60,3974.70,16.73,0.00,1270.92,5228.89,Stayed,,
0550-DCXLH,Male,64,No,0,Thermal,92274,33.53604000,-116.11922200,0,13,None,Yes,40.99,No,Yes,DSL,21.00,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,"Mailed Check",73.35,931.55,49.02,0.00,532.87,1415.40,Stayed,,
0556-FJEGU,Male,26,No,0,Lafayette,94549,37.90777700,-122.12716100,0,58,"Offer B",Yes,47.47,No,Yes,DSL,69.00,No,Yes,Yes,Yes,Yes,No,No,Yes,"Two Year",No,"Bank Withdrawal",70.10,4048.95,0.00,0.00,2753.26,6802.21,Stayed,,
0557-ASKVU,Female,43,Yes,0,"Beverly Hills",90210,34.09989100,-118.41433800,2,18,"Offer D",Yes,44.97,No,Yes,Cable,7.00,No,No,Yes,Yes,No,No,No,Yes,"One Year",Yes,"Credit Card",54.40,957.10,0.00,0.00,809.46,1766.56,Stayed,,
0562-FGDCR,Female,61,Yes,3,Whitmore,96096,40.63710500,-121.90694900,9,72,None,Yes,21.84,Yes,Yes,DSL,30.00,Yes,Yes,No,Yes,Yes,No,No,Yes,"Two Year",No,"Credit Card",74.55,5430.65,0.00,0.00,1572.48,7003.13,Stayed,,
0564-JJHGS,Male,45,No,0,Guerneville,95446,38.52576000,-123.01334700,0,9,None,Yes,19.22,Yes,Yes,"Fiber Optic",10.00,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.50,829.10,0.00,0.00,172.98,1002.08,Churned,Dissatisfaction,"Limited range of services"
0564-MUUQK,Female,28,Yes,2,"Imperial Beach",91932,32.57913400,-117.11900900,5,20,None,Yes,38.71,Yes,Yes,"Fiber Optic",48.00,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.50,1916.20,0.00,0.00,774.20,2690.40,Stayed,,
0565-IYCGT,Male,51,No,0,"San Diego",92117,32.82508600,-117.19942400,0,69,"Offer A",Yes,29.38,Yes,Yes,DSL,9.00,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"One Year",Yes,"Credit Card",78.60,5356.45,0.00,0.00,2027.22,7383.67,Churned,Competitor,"Competitor made better offer"
0565-JUPYD,Male,26,No,0,Benicia,94510,38.11353300,-122.11926000,0,63,None,Yes,21.45,Yes,Yes,"Fiber Optic",85.00,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"One Year",No,"Credit Card",104.50,6590.80,0.00,0.00,1351.35,7942.15,Stayed,,
0567-GGCAC,Female,38,No,0,Biola,93606,36.79888200,-120.01951100,0,7,None,Yes,15.84,No,Yes,DSL,14.00,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",61.40,438.90,0.00,0.00,110.88,549.78,Stayed,,
0570-BFQHT,Female,38,No,0,Anderson,96007,40.44863200,-122.30665700,0,9,None,Yes,32.57,No,Yes,"Fiber Optic",13.00,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",80.55,653.90,2.28,0.00,293.13,944.75,Stayed,,
0572-ZJKLT,Female,32,Yes,1,Chester,96020,40.24349400,-121.15473300,10,46,"Offer B",Yes,49.26,Yes,Yes,"Fiber Optic",18.00,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"Two Year",No,"Credit Card",99.65,4630.20,9.35,0.00,2265.96,6886.81,Stayed,,
0575-CUQOV,Male,76,Yes,0,Hilmar,95324,37.39453600,-120.89074700,10,60,"Offer B",Yes,17.05,No,Yes,"Fiber Optic",21.00,No,Yes,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",97.95,5867.00,0.00,0.00,1023.00,6890.00,Stayed,,
0576-WNXXC,Male,70,Yes,0,Parlier,93648,36.62223700,-119.52112600,1,27,None,Yes,39.49,Yes,Yes,"Fiber Optic",7.00,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.55,2510.20,0.00,0.00,1066.23,3576.43,Churned,Dissatisfaction,"Service dissatisfaction"
0577-WHMEV,Female,19,Yes,0,"San Jose",95133,37.37186200,-121.86034900,2,16,"Offer D",Yes,27.83,Yes,Yes,"Fiber Optic",52.00,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",90.70,1374.90,0.00,0.00,445.28,1820.18,Stayed,,
0578-SKVMF,Female,23,Yes,0,Seeley,92273,32.79028200,-115.68955900,4,22,None,Yes,4.01,No,Yes,Cable,53.00,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",83.30,1845.90,0.00,0.00,88.22,1934.12,Churned,Competitor,"Competitor had better devices"
0580-PIQHM,Female,21,Yes,1,Riverside,92503,33.89004600,-117.45558300,7,41,"Offer B",Yes,14.73,Yes,Yes,"Fiber Optic",82.00,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",101.60,3930.55,0.00,0.00,603.93,4534.48,Stayed,,
0581-BXBUB,Female,76,No,0,"Penn Valley",95946,39.20381700,-121.19584000,0,4,None,Yes,35.67,No,Yes,"Fiber Optic",8.00,No,Yes,No,No,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",72.75,317.75,0.00,0.00,142.68,460.43,Stayed,,
0581-MDMPW,Female,63,No,0,"San Jose",95148,37.33953300,-121.77717900,0,24,"Offer C",Yes,44.09,Yes,Yes,"Fiber Optic",9.00,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",88.95,2072.75,0.00,0.00,1058.16,3130.91,Stayed,,
0584-BJQGZ,Female,19,No,0,Taylorsville,95983,40.05368400,-120.74311600,0,25,None,Yes,28.05,Yes,Yes,Cable,85.00,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",78.35,1837.90,0.00,0.00,701.25,2539.15,Stayed,,
0585-EGDDA,Male,41,Yes,0,Etna,96027,41.40519300,-123.00856700,8,40,"Offer B",Yes,39.22,No,Yes,"Fiber Optic",27.00,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",80.00,3168.75,41.74,0.00,1568.80,4695.81,Stayed,,
0587-DMGBH,Female,48,No,0,Willows,95988,39.49399100,-122.28636300,0,8,None,Yes,37.79,No,Yes,Cable,25.00,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",49.85,365.55,13.01,10.00,302.32,664.86,Churned,Competitor,"Competitor offered higher download speeds"
0595-ITUDF,Male,21,Yes,1,Fairfax,94930,37.97175100,-122.61187300,0,64,None,Yes,34.58,Yes,Yes,"Fiber Optic",27.00,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",91.80,5960.50,0.00,0.00,2213.12,8173.62,Stayed,,
0596-BQCEQ,Female,32,Yes,0,Hydesville,95547,40.55731400,-124.08166200,1,62,None,Yes,48.58,No,Yes,"Fiber Optic",13.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",100.15,6283.30,0.00,0.00,3011.96,9295.26,Churned,Competitor,"Competitor had better devices"
0599-XNYDO,Female,51,Yes,0,Graton,95444,38.43436200,-122.86891000,0,20,None,Yes,43.49,No,Yes,"Fiber Optic",28.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.80,1540.35,0.00,0.00,869.80,2410.15,Stayed,,
0602-DDUML,Female,21,No,0,Fallbrook,92028,33.36257500,-117.29964400,0,57,None,Yes,36.14,No,Yes,Cable,48.00,No,Yes,Yes,Yes,Yes,No,Yes,Yes,"Two Year",No,"Mailed Check",69.75,3894.40,0.00,0.00,2059.98,5954.38,Stayed,,
0603-OLQDC,Male,41,No,1,Whittier,90601,34.00735300,-118.03368300,0,12,"Offer D",Yes,27.07,No,Yes,Cable,29.00,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",69.85,837.50,0.00,0.00,324.84,1162.34,Stayed,,
0604-THJFP,Female,40,Yes,0,"Castro Valley",94552,37.72272700,-122.02157000,4,59,"Offer B",Yes,8.28,No,Yes,DSL,22.00,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",75.95,4542.35,0.00,0.00,488.52,5030.87,Stayed,,
0607-MVMGC,Male,33,Yes,0,Ranchita,92066,33.21525100,-116.53633000,3,45,None,Yes,39.82,Yes,Yes,DSL,13.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",78.75,3600.65,0.00,0.00,1791.90,5392.55,Stayed,,
0611-DFXKO,Male,35,Yes,0,Comptche,95427,39.23981800,-123.56543200,1,20,"Offer D",Yes,18.05,No,Yes,"Fiber Optic",5.00,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",89.00,1820.45,0.00,0.00,361.00,2181.45,Churned,Dissatisfaction,"Service dissatisfaction"
0617-FHSGK,Male,62,No,0,"Rancho Cordova",95670,38.60272300,-121.27991300,0,49,None,Yes,19.08,Yes,Yes,"Fiber Optic",24.00,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",75.20,3678.30,0.00,20.00,934.92,4633.22,Churned,Price,"Extra data charges"
0618-XWMSS,Male,60,No,0,Wasco,93280,35.65224200,-119.44640000,0,28,"Offer C",Yes,44.28,No,Yes,"Fiber Optic",5.00,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.90,2068.55,0.00,0.00,1239.84,3308.39,Churned,Price,"Long distance charges"
0619-OLYUR,Male,32,Yes,0,"Garden Grove",92840,33.78716500,-117.93188900,1,72,None,Yes,47.83,Yes,Yes,"Fiber Optic",27.00,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",111.90,8071.05,0.00,0.00,3443.76,11514.81,Stayed,,
0620-DLSLK,Female,47,No,0,Pasadena,91103,34.16746500,-118.16532700,0,13,None,Yes,34.18,No,Yes,"Fiber Optic",19.00,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",81.90,1028.90,0.00,0.00,444.34,1473.24,Stayed,,
0621-HJWXJ,Female,54,Yes,0,Irvine,92618,33.66714500,-117.73213500,1,63,"Offer B",Yes,21.15,Yes,Yes,"Fiber Optic",24.00,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",81.55,5029.05,0.00,0.00,1332.45,6361.50,Stayed,,
0621-TWIEM,Male,28,No,0,Newhall,91321,34.37037800,-118.50411800,0,10,"Offer D",Yes,34.44,No,Yes,Cable,69.00,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",45.55,402.60,0.00,0.00,344.40,747.00,Churned,Attitude,"Attitude of support person"
0623-EJQEG,Male,50,No,0,Murphys,95247,38.14785200,-120.44012400,0,65,"Offer B",Yes,2.72,Yes,Yes,"Fiber Optic",16.00,Yes,No,No,Yes,No,Yes,Yes,No,"One Year",No,"Bank Withdrawal",93.55,6069.25,0.00,30.00,176.80,6276.05,Stayed,,
0623-GDISB,Female,63,No,0,"San Clemente",92673,33.47250000,-117.58427300,0,1,None,Yes,16.42,No,Yes,Cable,21.00,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",48.45,48.45,0.00,0.00,16.42,64.87,Joined,,
0628-CNQRM,Male,49,Yes,0,Temecula,92592,33.50725500,-117.02947300,1,22,None,Yes,19.80,No,Yes,Cable,17.00,Yes,No,Yes,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",67.50,1544.05,0.00,0.00,435.60,1979.65,Churned,Other,"Don't know"
0634-SZPQA,Female,64,No,0,"San Anselmo",94960,37.99272000,-122.57502600,0,23,None,Yes,3.55,Yes,Yes,"Fiber Optic",4.00,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",90.05,2169.80,27.38,0.00,81.65,2224.07,Churned,Competitor,"Competitor offered higher download speeds"
0635-WKOLD,Male,33,Yes,0,Ceres,95307,37.55346900,-120.95282500,0,40,"Offer B",Yes,23.74,Yes,Yes,DSL,22.00,No,Yes,No,Yes,Yes,No,No,Yes,"One Year",No,"Credit Card",70.75,2921.75,0.00,0.00,949.60,3871.35,Stayed,,
0637-KVDLV,Male,30,No,0,"Elk Grove",95758,38.35363000,-121.44195000,0,2,"Offer E",Yes,17.22,Yes,Yes,"Fiber Optic",30.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",76.50,162.45,0.00,0.00,34.44,196.89,Churned,Other,"Don't know"
0637-UBJRP,Male,40,Yes,0,Wilton,95693,38.39255900,-121.22509300,5,13,"Offer D",Yes,29.92,No,Yes,"Fiber Optic",21.00,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",84.05,1095.30,23.97,0.00,388.96,1460.29,Churned,Competitor,"Competitor offered higher download speeds"
0637-YLETY,Female,39,No,0,"Douglas City",96024,40.58658800,-122.90367700,0,16,"Offer D",Yes,18.99,Yes,Yes,"Fiber Optic",30.00,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",95.60,1555.65,0.00,0.00,303.84,1859.49,Churned,Attitude,"Attitude of service provider"
0639-TSIQW,Female,28,No,0,"White Water",92282,33.97229300,-116.65419500,0,67,"Offer A",Yes,37.50,Yes,Yes,"Fiber Optic",30.00,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",102.95,6886.25,0.00,0.00,2512.50,9398.75,Churned,Competitor,"Competitor offered more data"
0641-EVBOJ,Male,61,No,0,Coarsegold,93614,37.21219100,-119.74932300,0,3,None,Yes,44.97,No,Yes,"Fiber Optic",16.00,Yes,No,No,Yes,No,No,No,No,Month-to-Month,Yes,"Credit Card",82.30,214.40,0.00,20.00,134.91,369.31,Joined,,
0643-OKLRP,Female,73,Yes,0,Azusa,91702,34.17449300,-117.87068000,1,47,None,Yes,38.31,Yes,Yes,"Fiber Optic",7.00,Yes,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",80.35,3825.85,0.00,90.00,1800.57,5716.42,Churned,Dissatisfaction,"Network reliability"
0644-OQMDK,Male,69,No,0,Merced,95348,37.40122000,-120.51419100,0,4,"Offer E",Yes,6.18,No,Yes,"Fiber Optic",12.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",70.65,293.85,0.00,0.00,24.72,318.57,Stayed,,
0650-BWOZN,Female,71,No,0,Aguanga,92536,33.48224300,-116.82717300,0,18,None,Yes,7.51,No,Yes,"Fiber Optic",24.00,No,Yes,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",73.55,1359.45,0.00,0.00,135.18,1494.63,Stayed,,
0654-HMSHN,Male,45,Yes,0,Mojave,93501,35.09732300,-118.17128800,1,21,"Offer D",Yes,42.65,Yes,Yes,"Fiber Optic",3.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",104.40,2157.95,0.00,0.00,895.65,3053.60,Churned,Attitude,"Attitude of support person"
0654-PQKDW,Female,58,Yes,2,Pescadero,94060,37.22565000,-122.29753300,5,62,None,Yes,42.05,No,Yes,DSL,20.00,Yes,No,Yes,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",70.75,4263.45,0.00,0.00,2607.10,6870.55,Stayed,,
0655-RBDUG,Male,32,No,0,Alviso,95002,37.44953700,-121.99481300,0,7,"Offer E",Yes,9.25,Yes,Yes,"Fiber Optic",29.00,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.05,713.00,0.00,0.00,64.75,777.75,Churned,Competitor,"Competitor had better devices"
0655-YDGFJ,Male,34,No,0,"Palm Springs",92264,33.74574600,-116.51421500,0,29,"Offer C",Yes,10.06,No,Yes,DSL,25.00,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",48.95,1323.70,0.00,0.00,291.74,1615.44,Stayed,,
0657-DOGUM,Female,35,Yes,0,"Rancho Cucamonga",91739,34.13380900,-117.52372400,1,48,"Offer B",Yes,44.72,Yes,Yes,DSL,13.00,Yes,No,No,Yes,No,No,No,No,"One Year",Yes,"Bank Withdrawal",60.60,2985.25,0.00,100.00,2146.56,5231.81,Stayed,,
0661-KBKPA,Male,43,Yes,3,Seaside,93955,36.62511400,-121.82356500,7,53,None,Yes,31.86,Yes,Yes,DSL,56.00,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",78.75,3942.45,0.00,0.00,1688.58,5631.03,Stayed,,
0661-WCQNQ,Male,56,Yes,0,Orleans,95556,41.26952100,-123.54695800,8,22,"Offer D",Yes,7.68,No,Yes,DSL,7.00,Yes,No,No,Yes,No,No,No,No,"One Year",Yes,"Credit Card",56.25,1292.20,0.00,100.00,168.96,1561.16,Stayed,,
